,model,lesion,#TP @[ IoBB=0.50      | area=   all | maxDets= 30 ],#FP @[ IoBB=0.50      | area=   all | maxDets= 30 ],#FN @[ IoBB=0.50      | area=   all | maxDets= 30 ],Sensitivity@ [avgFP=0.5],Sensitivity@ [avgFP=1],Sensitivity@ [avgFP=2],Sensitivity@ [avgFP=4],"mFROC@[0.5,1,2,4]", Average Recall     (AR) @[ IoBB=0.50:0.95 | area=   all | maxDets= 30 ], Average Precision  (AP) @[ IoBB=0.50:0.95 | area=   all | maxDets= 30 ], Average Precision  (AP) @[ IoBB=0.50:0.95 | area=   all | maxDets=  1 ], Average Precision  (AP) @[ IoBB=0.50:0.95 | area=   all | maxDets=  5 ], Average Precision  (AP) @[ IoBB=0.50:0.95 | area=   all | maxDets= 10 ], Average Precision  (AP) @[ IoBB=0.50      | area=   all | maxDets= 10 ], Average Precision  (AP) @[ IoBB=0.75      | area=   all | maxDets= 10 ], Average Recall     (AR) @[ IoBB=0.50:0.95 | area=   all | maxDets=  1 ], Average Recall     (AR) @[ IoBB=0.50:0.95 | area=   all | maxDets=  5 ], Average Recall     (AR) @[ IoBB=0.50:0.95 | area=   all | maxDets= 10 ]
0,baseline_mobilenet,Pulmonary edema,140,2868,59,0.5192629815745393,0.7236180904522613,0.8944723618090452,0.947834410145968,0.7712969609954534,0.5492462311557789,0.06922033277310094,0.02512077025326104,0.05863420720472748,0.06586312674023796,0.13072726788901676,0.05209210486132985,0.11507537688442208,0.3728643216080402,0.4763819095477387
0,baseline_mobilenet,Enlarged cardiac silhouette,171,1040,106,0.5160649819494585,0.6813848005183745,0.8445397111913358,0.9305692302082194,0.743139680966847,0.5025270758122744,0.16960386258132792,0.1282655634365086,0.1613380472826978,0.16845631238459188,0.2418221101886115,0.1761864232292046,0.2732851985559567,0.44332129963898914,0.4924187725631769
0,baseline_mobilenet,Consolidation,211,1588,126,0.5660534124629081,0.7210682492581603,0.8414745491896828,0.9272112720341148,0.7639518707362165,0.4620178041543027,0.11088336358634611,0.06037853207757398,0.10291631432001472,0.10949526904200357,0.21231558778726553,0.09001867017837313,0.1540059347181009,0.37566765578635014,0.4427299703264095
0,baseline_mobilenet,Atelectasis,166,768,151,0.4964869515342701,0.6716847023120233,0.8296026578965031,0.9430834284180146,0.7352144350402028,0.3728706624605678,0.11374725301985006,0.07214556472199117,0.11158524678151838,0.11372642430647713,0.2136749472355723,0.1102677009533455,0.17350157728706628,0.34858044164037855,0.3722397476340694
0,baseline_mobilenet,Pleural abnormality,19,23,385,0.426563572198804,0.6287671530310927,0.8130246095475688,0.9022639711669912,0.6926548264861142,0.03316831683168317,0.022172677491838818,0.02101160116011601,0.022172677491838818,0.022172677491838818,0.03233573357335733,0.02173140390962173,0.026980198019801983,0.03316831683168317,0.03316831683168317
0,baseline_mobilenet,all,709,6249,825,0.4998444459830599,0.6797194069107318,0.8389572411260315,0.9272027472113404,0.736430960307791,0.3887209878035583,0.09780240851979058,0.06073145356886793,0.0918160796394678,0.09647373852116424,0.16531822363591878,0.09259842810026557,0.14653146034326534,0.32038142708717254,0.3656314837858102
0,with_clinical_mobilenet_1D_3D,Pulmonary edema,0,273,42,0.3061224489795918,0.5238095238095238,0.6541950113378685,0.8340558766859345,0.5795457152032297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,with_clinical_mobilenet_1D_3D,Enlarged cardiac silhouette,0,10,60,0.2948717948717949,0.4416666666666667,0.5891503789389709,0.6343571333599256,0.4900114934593395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,with_clinical_mobilenet_1D_3D,Consolidation,0,0,55,0.3676505312868949,0.5309090909090909,0.5592228553945002,0.6112364707232187,0.5172547370784262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,with_clinical_mobilenet_1D_3D,Atelectasis,0,0,59,0.272741077109967,0.2938841325851796,0.3361702435356047,0.4207424654364551,0.3308844796668016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
